variant,fold,category,rows,prauc
baseline,fold_02,Бытовая химия,4400,0.9206161927227271
baseline,fold_02,Галантерея и аксессуары,4507,0.748641394205487
baseline,fold_02,Детские товары,4432,0.9245056420029323
baseline,fold_02,Дом и сад,4436,0.8532404426175586
baseline,fold_02,Канцелярские товары,4361,0.8395863444198991
baseline,fold_02,Красота и гигиена,4224,0.8322158554267837
baseline,fold_02,Мебель,4565,0.7573281649011724
baseline,fold_02,Музыкальные инструменты,4375,0.8638415215609634
baseline,fold_02,Обувь,4622,0.5737078676092485
baseline,fold_02,Одежда,5777,0.5805103374399849
baseline,fold_02,Продукты питания,4581,0.8966506171741417
baseline,fold_02,Спорт и отдых,4417,0.7654863566339839
baseline,fold_02,Строительство и ремонт,4495,0.8338665079091188
baseline,fold_02,Товары для животных,4534,0.9093406466997866
baseline,fold_02,Хобби и творчество,4488,0.9436667195438562
baseline,fold_02,Электроника,4906,0.7915809547943294
baseline,fold_02,Ювелирные изделия,4824,0.5742492573406728
category_balanced,fold_02,Автотовары,4660,0.7473287493090933
category_balanced,fold_02,Аптека,4520,0.878012975970705
category_balanced,fold_02,Бытовая техника,4350,0.8578879636280442
category_balanced,fold_02,Бытовая химия,4400,0.9202523654060137
category_balanced,fold_02,Галантерея и аксессуары,4507,0.747237357381554
category_balanced,fold_02,Детские товары,4432,0.9242695451692151
category_balanced,fold_02,Дом и сад,4436,0.8535312499968852
category_balanced,fold_02,Канцелярские товары,4361,0.8414282050050205
category_balanced,fold_02,Красота и гигиена,4224,0.8337835896212412
category_balanced,fold_02,Мебель,4565,0.7588293719198262
category_balanced,fold_02,Музыкальные инструменты,4375,0.8665819574255267
category_balanced,fold_02,Обувь,4622,0.5766179845308684
category_balanced,fold_02,Одежда,5777,0.5690024886563119
category_balanced,fold_02,Продукты питания,4581,0.8963195138828656
category_balanced,fold_02,Спорт и отдых,4417,0.7652692177503578
category_balanced,fold_02,Строительство и ремонт,4495,0.8338396595083986
category_balanced,fold_02,Товары для животных,4534,0.9093166786649266
category_balanced,fold_02,Хобби и творчество,4488,0.9439626307508051
category_balanced,fold_02,Электроника,4906,0.7882288416929658
category_balanced,fold_02,Ювелирные изделия,4824,0.5701247401908703
baseline,pooled_2fold,Автотовары,9446,0.730116956309021
baseline,pooled_2fold,Аптека,9141,0.8806839323990223
baseline,pooled_2fold,Бытовая техника,8817,0.8554314531033688
baseline,pooled_2fold,Бытовая химия,8737,0.9110200295381166
baseline,pooled_2fold,Галантерея и аксессуары,8935,0.7396994282481946
baseline,pooled_2fold,Детские товары,8862,0.9232222240701199
baseline,pooled_2fold,Дом и сад,9009,0.8452552957987818
baseline,pooled_2fold,Канцелярские товары,8742,0.8209413067582858
baseline,pooled_2fold,Красота и гигиена,8519,0.8362635077908677
baseline,pooled_2fold,Мебель,9148,0.7588932966974044
baseline,pooled_2fold,Музыкальные инструменты,8811,0.8663613872197181
baseline,pooled_2fold,Обувь,9104,0.5749243167784033
baseline,pooled_2fold,Одежда,11723,0.5885239430323017
baseline,pooled_2fold,Продукты питания,9130,0.8964993208236238
