category,fold,slice,alternative,channel_type,n,positives,baseline_ap,alternative_ap,blend_ap,blend_delta,status
Ювелирные изделия,fold_01,score_20_50,zs_llm_blend,independent,1783,52,0.04835334401808486,0.03991655558547878,0.04365458851640862,-0.004698755501676241,checked
Ювелирные изделия,fold_01,score_20_50,knrm_name_v2,independent,1783,52,0.04835334401808486,0.0353169026408273,0.05842422929125102,0.010070885273166158,checked
Ювелирные изделия,fold_01,score_20_50,ce_priodistill,diagnostic_non_independent,1783,52,0.04835334401808486,0.07005090665363566,0.05156408209856532,0.0032107380804804603,checked
Ювелирные изделия,fold_01,score_20_50,ce_fashion_specialist,diagnostic_non_independent,1783,52,0.04835334401808486,0.060257509775144394,0.05128502597704905,0.0029316819589641913,checked
Ювелирные изделия,fold_01,score_50_80,zs_llm_blend,independent,1421,392,0.5407866986240087,0.3682702869597564,0.5322214155786825,-0.008565283045326222,checked
Ювелирные изделия,fold_01,score_50_80,knrm_name_v2,independent,1421,392,0.5407866986240087,0.3607604336426499,0.534676705636286,-0.0061099929877227455,checked
Ювелирные изделия,fold_01,score_50_80,ce_priodistill,diagnostic_non_independent,1421,392,0.5407866986240087,0.4927090358349584,0.5397757522035169,-0.0010109464204918206,checked
Ювелирные изделия,fold_01,score_50_80,ce_fashion_specialist,diagnostic_non_independent,1421,392,0.5407866986240087,0.49425919421850334,0.5390837803988715,-0.00170291822513724,checked
Ювелирные изделия,fold_01,score_80_95,zs_llm_blend,independent,139,108,0.9018535947786473,0.875618979071012,0.8808796475625189,-0.02097394721612844,checked
Ювелирные изделия,fold_01,score_80_95,knrm_name_v2,independent,139,108,0.9018535947786473,0.7977651086690569,0.8375920316942865,-0.06426156308436082,checked
Ювелирные изделия,fold_01,score_80_95,ce_priodistill,diagnostic_non_independent,139,108,0.9018535947786473,0.8789092223695852,0.896957420322307,-0.004896174456340385,checked
Ювелирные изделия,fold_01,score_80_95,ce_fashion_specialist,diagnostic_non_independent,139,108,0.9018535947786473,0.8999316815235696,0.901568924054623,-0.00028467072402438287,checked
Ювелирные изделия,fold_01,score_95_99,zs_llm_blend,independent,15,15,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_95_99,knrm_name_v2,independent,15,15,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_95_99,ce_priodistill,diagnostic_non_independent,15,15,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_95_99,ce_fashion_specialist,diagnostic_non_independent,15,15,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_99_100,zs_llm_blend,independent,4,4,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_99_100,knrm_name_v2,independent,4,4,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_99_100,ce_priodistill,diagnostic_non_independent,4,4,,,,,undefined_one_class
Ювелирные изделия,fold_01,score_99_100,ce_fashion_specialist,diagnostic_non_independent,4,4,,,,,undefined_one_class
Ювелирные изделия,fold_01,text_asymmetric,zs_llm_blend,independent,1770,169,0.6033150327739728,0.3358237604234697,0.6006211559612087,-0.0026938768127641177,checked
Ювелирные изделия,fold_01,text_asymmetric,knrm_name_v2,independent,1770,169,0.6033150327739728,0.22797276413042045,0.5898350365215861,-0.013479996252386717,checked
Ювелирные изделия,fold_01,text_asymmetric,ce_priodistill,diagnostic_non_independent,1770,169,0.6033150327739728,0.5818438031974555,0.6044410304262468,0.0011259976522739468,checked
Ювелирные изделия,fold_01,text_asymmetric,ce_fashion_specialist,diagnostic_non_independent,1770,169,0.6033150327739728,0.5901173662146413,0.6058596928730339,0.002544660099061069,checked
Ювелирные изделия,fold_02,all,zs_llm_blend,independent,4824,586,0.587881977930299,0.3093286860659492,0.5774884911160506,-0.010393486814248343,checked
Ювелирные изделия,fold_02,all,knrm_name_v2,independent,4824,586,0.587881977930299,0.27913744364661447,0.5606574733455799,-0.027224504584719034,checked
Ювелирные изделия,fold_02,all,ce_priodistill,diagnostic_non_independent,4824,586,0.587881977930299,0.5718708704341422,0.5878715517502677,-1.0426180031219978e-05,checked
Ювелирные изделия,fold_02,all,ce_fashion_specialist,diagnostic_non_independent,4824,586,0.587881977930299,0.5678678541781069,0.588174087575448,0.00029210964514903015,checked
Ювелирные изделия,fold_02,name_exact,zs_llm_blend,independent,7,0,,,,,undefined_one_class
