held_fold,category,global_w1,global_w2,cat_w1,cat_w2,shrink_w1,shrink_w2
fold_02,Товары для животных,0.2,0.1,0.025,0.1,0.06875,0.1
fold_02,Хобби и творчество,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Электроника,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_02,Ювелирные изделия,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Автотовары,0.2,0.1,0.025,0.2,0.06875,0.17500000000000002
fold_03,Аптека,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_03,Бытовая техника,0.2,0.1,0.05,0.2,0.08750000000000001,0.17500000000000002
fold_03,Бытовая химия,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_03,Галантерея и аксессуары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_03,Детские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_03,Дом и сад,0.2,0.1,0.2,0.0,0.2,0.025
fold_03,Канцелярские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_03,Красота и гигиена,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Мебель,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Музыкальные инструменты,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Обувь,0.2,0.1,0.025,0.2,0.06875,0.17500000000000002
fold_03,Одежда,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Продукты питания,0.2,0.1,0.2,0.0,0.2,0.025
fold_03,Спорт и отдых,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Строительство и ремонт,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Товары для животных,0.2,0.1,0.2,0.05,0.2,0.0625
fold_03,Хобби и творчество,0.2,0.1,0.025,0.1,0.06875,0.1
fold_03,Электроника,0.2,0.1,0.2,0.1,0.2,0.1
fold_03,Ювелирные изделия,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Автотовары,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Аптека,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Бытовая техника,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Бытовая химия,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Галантерея и аксессуары,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Детские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Дом и сад,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Канцелярские товары,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Красота и гигиена,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Мебель,0.2,0.1,0.2,0.0,0.2,0.025
fold_04,Музыкальные инструменты,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Обувь,0.2,0.1,0.1,0.1,0.125,0.1
fold_04,Одежда,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Продукты питания,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Спорт и отдых,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Строительство и ремонт,0.2,0.1,0.2,0.0,0.2,0.025
fold_04,Товары для животных,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Хобби и творчество,0.2,0.1,0.1,0.2,0.125,0.17500000000000002
fold_04,Электроника,0.2,0.1,0.2,0.1,0.2,0.1
fold_04,Ювелирные изделия,0.2,0.1,0.2,0.1,0.2,0.1
