fold,variant,category,ap
fold_02,early_avg,Продукты питания,0.8934438308617283
fold_02,early_avg,Аптека,0.875575547184457
fold_02,early_avg,Бытовая химия,0.9184441700584699
fold_02,early_avg,Одежда,0.5631817122009168
fold_02,early_avg,Хобби и творчество,0.9412280910725008
fold_02,early_avg,Галантерея и аксессуары,0.7352440464754179
fold_02,early_avg,Мебель,0.7487678617702019
fold_02,early_avg,Бытовая техника,0.8550758011046582
fold_02,late_pred_avg,Бытовая техника,0.8574544168351668
fold_02,late_pred_avg,Электроника,0.7898289549273522
fold_02,late_pred_avg,Аптека,0.8802667499025781
fold_02,late_pred_avg,Обувь,0.5753965562904828
fold_02,late_pred_avg,Красота и гигиена,0.8334934597850525
fold_02,late_pred_avg,Музыкальные инструменты,0.8664601486352087
fold_02,late_pred_avg,Автотовары,0.7471176585626235
fold_02,late_pred_avg,Ювелирные изделия,0.5727276472756856
fold_02,late_pred_avg,Галантерея и аксессуары,0.7460031407068937
fold_02,late_pred_avg,Бытовая химия,0.9214705206885786
fold_02,late_pred_avg,Товары для животных,0.9093119760009956
fold_02,late_pred_avg,Продукты питания,0.896218521611067
fold_02,late_pred_avg,Детские товары,0.9237035638334629
fold_02,late_pred_avg,Дом и сад,0.8538707033143238
fold_02,late_pred_avg,Хобби и творчество,0.9437662616925242
fold_02,late_pred_avg,Спорт и отдых,0.7647311631239428
fold_02,late_pred_avg,Одежда,0.573535682817459
fold_02,late_pred_avg,Мебель,0.7550782261741366
fold_02,late_pred_avg,Канцелярские товары,0.8414864799071543
fold_02,late_pred_avg,Строительство и ремонт,0.8339314744276954
