fold,mode,category,slice,rows,ap
fold_01,middle,Товары для животных,any_trunc,1051,0.8803058960218011
fold_01,middle,Хобби и творчество,all,4339,0.9216641484484722
fold_01,middle,Хобби и творчество,any_trunc,71,0.5681567142669137
fold_01,middle,Электроника,all,4526,0.7170682288427979
fold_01,middle,Электроника,any_trunc,1528,0.5645250127539413
fold_01,middle,Ювелирные изделия,all,4540,0.6101877525549048
fold_01,middle,Ювелирные изделия,any_trunc,360,0.6120561756539262
fold_02,prefix,Автотовары,all,4660,0.7340788313188309
fold_02,prefix,Автотовары,any_trunc,439,0.7340837335988895
fold_02,prefix,Аптека,all,4520,0.8717783008064591
fold_02,prefix,Аптека,any_trunc,1931,0.7378449057877821
fold_02,prefix,Бытовая техника,all,4350,0.8556628578296884
fold_02,prefix,Бытовая техника,any_trunc,1385,0.859468448630833
fold_02,prefix,Бытовая химия,all,4400,0.9094554992858244
fold_02,prefix,Бытовая химия,any_trunc,97,0.8809637572155917
fold_02,prefix,Галантерея и аксессуары,all,4507,0.7253507511306194
fold_02,prefix,Галантерея и аксессуары,any_trunc,124,0.3961545000943735
fold_02,prefix,Детские товары,all,4432,0.9157388353245007
fold_02,prefix,Детские товары,any_trunc,71,0.5638271694192747
fold_02,prefix,Дом и сад,all,4436,0.8452573377417837
fold_02,prefix,Дом и сад,any_trunc,257,0.5813343629910035
fold_02,prefix,Канцелярские товары,all,4361,0.8328583533363456
fold_02,prefix,Канцелярские товары,any_trunc,24,0.9428571428571428
fold_02,prefix,Красота и гигиена,all,4224,0.8264090215458781
fold_02,prefix,Красота и гигиена,any_trunc,724,0.8869286127130686
fold_02,prefix,Мебель,all,4565,0.7642832827636965
fold_02,prefix,Мебель,any_trunc,1641,0.7385182040481685
fold_02,prefix,Музыкальные инструменты,all,4375,0.8553472895682793
fold_02,prefix,Музыкальные инструменты,any_trunc,50,0.680969387755102
fold_02,prefix,Обувь,all,4622,0.555446429696249
fold_02,prefix,Обувь,any_trunc,115,0.490944068471067
fold_02,prefix,Одежда,all,5777,0.5694726375017294
fold_02,prefix,Одежда,any_trunc,148,0.47093877977553156
fold_02,prefix,Продукты питания,all,4581,0.891530573068124
fold_02,prefix,Продукты питания,any_trunc,915,0.9027038426742189
fold_02,prefix,Спорт и отдых,all,4417,0.7527535366492024
fold_02,prefix,Спорт и отдых,any_trunc,274,0.7386448053655172
fold_02,prefix,Строительство и ремонт,all,4495,0.8244316793987
fold_02,prefix,Строительство и ремонт,any_trunc,637,0.8510311147648327
fold_02,prefix,Товары для животных,all,4534,0.9072579018430909
fold_02,prefix,Товары для животных,any_trunc,1005,0.9275444063183006
fold_02,prefix,Хобби и творчество,all,4488,0.9379586595252737
fold_02,prefix,Хобби и творчество,any_trunc,84,0.6782496833936826
fold_02,prefix,Электроника,all,4906,0.7784527172388116
fold_02,prefix,Электроника,any_trunc,1644,0.749395028629996
fold_02,prefix,Ювелирные изделия,all,4824,0.5642454745691001
fold_02,prefix,Ювелирные изделия,any_trunc,413,0.5854759038080728
fold_02,headtail,Автотовары,all,4660,0.7335424632264105
fold_02,headtail,Автотовары,any_trunc,439,0.735937935543136
fold_02,headtail,Аптека,all,4520,0.8719634374333721
fold_02,headtail,Аптека,any_trunc,1931,0.7395226413690243
fold_02,headtail,Бытовая техника,all,4350,0.8535067637091316
fold_02,headtail,Бытовая техника,any_trunc,1385,0.8513792572050908
fold_02,headtail,Бытовая химия,all,4400,0.9095601097672404
fold_02,headtail,Бытовая химия,any_trunc,97,0.8788663629845116
fold_02,headtail,Галантерея и аксессуары,all,4507,0.7240205982602365
fold_02,headtail,Галантерея и аксессуары,any_trunc,124,0.42965292017923595
fold_02,headtail,Детские товары,all,4432,0.9159465189710185
fold_02,headtail,Детские товары,any_trunc,71,0.5469321185877163
fold_02,headtail,Дом и сад,all,4436,0.8449345728022187
fold_02,headtail,Дом и сад,any_trunc,257,0.6251014622514088
fold_02,headtail,Канцелярские товары,all,4361,0.8317935816618286
fold_02,headtail,Канцелярские товары,any_trunc,24,0.925
